Work Order Number,Customer Number,Memo (Main),Name,Address,City,State,Zip,FixedTime,Weight,Total Weight NH,OrderDate,Quantity,Total Quantity,EqCode,Open1,Close1,Pattern1,Longitude,Latitude,OrderType,Filler,Shipment Date,Standing Appointment,Seq,County,Rt,Food Pallets, Pet Food Pallets,Chemical Pallets,Delivery Instructions,Total Case Cube,Static Appointment
976067,85343,- None -,Department of Probation NeON Kitchen Staten Island,340 Bay Street,Staten Island,NY,10301,30,834,834,1/20/2026,,54, ,1230,1630,T,40.63368,-74.075159,Dry,Yes,1/20/2026,Yes,3,StatenIsland,23,0.55,0,0,830-430pm,34.62,Yes
976069,87096,- None -,Project Bravo at Montefiore Medical Ctr,3058 Bainbridge Avenue,Bronx,NY,10467,30,2194,2194,1/20/2026,,110, ,0830,1230,T,40.87336,-73.879802,Dry,No,1/20/2026,No,4,Bronx,10,1.23,0,0,PLEASE RING THE FRONT DOOR,77.93,No
976070,87096,- None -,Project Bravo at Montefiore Medical Ctr,3058 Bainbridge Avenue,Bronx,NY,10467,30,689,689,1/20/2026,,30, ,0830,1230,T,40.87336,-73.879802,Cold,No,1/20/2026,No,4,Bronx,10,0.49,0,0,PLEASE RING THE FRONT DOOR,31.51,No
976150,85294,- None -,Redeemed Christian Church of God,1001 Morris Avenue,Bronx,NY,10456,30,3088,3088,1/20/2026,,149, ,1230,1630,T,40.828939,-73.916616,Dry,Yes,1/20/2026,Yes,4,Bronx,19,1.43,0,0,"Please: 8:00 am - 2:30 pm.  Also, Mary Uma is no longer with the organization.",91.54,Yes
976153,81626,- None -,St. John's Bread and Life Program,795 Lexington Avenue,Brooklyn,NY,11221,30,3868,3868,1/20/2026,,212, ,0830,1230,T,40.690209,-73.92901,Dry,Yes,1/20/2026,Yes,1,Brooklyn,16,2.11,0,0,"DELIVERIES MUST BE MADE BEFORE 1PM OR NO ONE WILL BE ABLE TO OFFLOAD THEM.Distribution:  Mon-Wed 9-11:30AM (sign in by 11AM); Thurs 9-11AM (sign in by 10:30AM); Fri 9-11AM (sign in by 10:30, Seniors only, closed 1st Friday each month); Delivery is between 7-1 ring kitchen bell if earlier",134.54,Yes
976157,85294,- None -,Redeemed Christian Church of God,1001 Morris Avenue,Bronx,NY,10456,30,1394,1394,1/20/2026,,58, ,1230,1630,T,40.828939,-73.916616,Cold,Yes,1/20/2026,Yes,4,Bronx,19,1.08,0,0,"Please: 8:00 am - 2:30 pm.  Also, Mary Uma is no longer with the organization.",69.58,Yes
976177,80602,- None -,Salvation Army Harlem Temple,540 Lenox Avenue,New York,NY,10037,30,740,740,1/20/2026,,34, ,1230,1630,T,40.815601,-73.939754,Dry,Yes,1/20/2026,Yes,2,Manhattan,2,0.34,0,0,9-3 pm,21.92,Yes
976178,80602,- None -,Salvation Army Harlem Temple,540 Lenox Avenue,New York,NY,10037,30,520,520,1/20/2026,,16, ,1230,1630,T,40.815601,-73.939754,Cold,Yes,1/20/2026,Yes,2,Manhattan,2,0.37,0,0,9-3 pm,23.28,Yes
976179,81418,- None -,Salvation Army Harlem Temple Corps,540 Lenox Avenue,New York,NY,10037,30,64,64,1/20/2026,,8, ,1230,1630,T,40.815601,-73.939754,Cold,Yes,1/20/2026,Yes,2,Manhattan,2,0.07,0,0,9am - 3pm,4.48,Yes
976183,81418,- None -,Salvation Army Harlem Temple Corps,540 Lenox Avenue,New York,NY,10037,30,711,711,1/20/2026,,27, ,1230,1630,T,40.815601,-73.939754,Dry,Yes,1/20/2026,Yes,2,Manhattan,2,0.3,0,0,9am - 3pm,19.26,Yes
976192,81564,- None -,Salt & Sea Mission Church Inc.,2417-2419 Stillwell Avenue,Brooklyn,NY,11223,30,585,585,1/20/2026,,23, ,0830,1230,T,40.58839,-73.983668,Cold,Yes,1/20/2026,Yes,2,Brooklyn,17,0.44,0,0,- None -,28.25,Yes
976194,81564,- None -,Salt & Sea Mission Church Inc.,2417-2419 Stillwell Avenue,Brooklyn,NY,11223,30,3378,3378,1/20/2026,,149, ,0830,1230,T,40.58839,-73.983668,Dry,Yes,1/20/2026,Yes,2,Brooklyn,17,1.53,0,0,- None -,97.94,Yes
976197,85319,- None -,West Harlem Group Assistance,625 Lenox Avenue,New York,NY,10030,30,2690,2690,1/20/2026,,128, ,0830,1230,T,40.818089,-73.937964,Dry,No,1/20/2026,No,3,Manhattan,2,1.21,0,0,"Please 2nd - 5th stop, #917-474-7050. Deliveries only bet 9am-5pm on Mon, Tues, Thurs, Fri.",77.64,No
976198,85319,- None -,West Harlem Group Assistance,625 Lenox Avenue,New York,NY,10030,30,1179,1179,1/20/2026,,49, ,0830,1230,T,40.818089,-73.937964,Cold,No,1/20/2026,No,3,Manhattan,2,0.68,0,0,"Please 2nd - 5th stop, #917-474-7050. Deliveries only bet 9am-5pm on Mon, Tues, Thurs, Fri.",44.09,No
976229,81243,- None -,Bethel Gospel Tabernacle Church,110-25 Guy R Brewer Blvd,Jamaica,NY,11433,30,1136,1136,1/20/2026,,38, ,0830,1230,T,40.692828,-73.788504,Cold,No,1/20/2026,No,2,Queens,6,0.75,0,0,"Mon, Tues & Fri 9-2pm Wed 10-2pm  347 393 7514 (Lionel Gordon cell); 917 335  1501 (Currin Wilson cell)",47.88,No
976230,81243,- None -,Bethel Gospel Tabernacle Church,110-25 Guy R Brewer Blvd,Jamaica,NY,11433,30,1008,1008,1/20/2026,,71, ,0830,1230,T,40.692828,-73.788504,Dry,No,1/20/2026,No,2,Queens,6,0.74,0,0,"Mon, Tues & Fri 9-2pm Wed 10-2pm  347 393 7514 (Lionel Gordon cell); 917 335  1501 (Currin Wilson cell)",47.22,No
976231,81148,- None -,Bethel Gospel Tabernacle Church,110-25 Guy R Brewer Blvd,Jamaica,NY,11433,30,862,862,1/20/2026,,45, ,0830,1230,T,40.692828,-73.788504,Dry,No,1/20/2026,No,2,Queens,6,0.33,0,0,"Mon, Tues & Fri 9-2pm Wed 10-2pm  347 393 7514 (Lionel Gordon cell); 917 335  1501 (Currin Wilson cell)",20.55,No
976232,81148,- None -,Bethel Gospel Tabernacle Church,110-25 Guy R Brewer Blvd,Jamaica,NY,11433,30,384,384,1/20/2026,,16, ,0830,1230,T,40.692828,-73.788504,Cold,No,1/20/2026,No,2,Queens,6,0.3,0,0,"Mon, Tues & Fri 9-2pm Wed 10-2pm  347 393 7514 (Lionel Gordon cell); 917 335  1501 (Currin Wilson cell)",18.96,No
976238,85547,- None -,Holy Apostles Pantry Program,296 9th Avenue,New York,NY,10001,30,400,400,1/20/2026,,17, ,0830,1230,T,40.749416,-73.999188,Dry,No,1/20/2026,No,1,Manhattan,22,0.16,0,0,Chris Molinari is no longer with Holy Apostles.,9.98,No
976240,84841,- None -,BronxWorks-Morris Senior Center,80 East 181st Street,Bronx,NY,10453,30,514,514,1/20/2026,,29, ,0830,1230,T,40.855076,-73.904199,Cold,Yes,1/20/2026,Yes,2,Bronx,19,0.42,0,0,Deliveries are preferred 8:00 AM to 12:00 PM,26.37,Yes
976241,84841,- None -,BronxWorks-Morris Senior Center,80 East 181st Street,Bronx,NY,10453,30,2003,2003,1/20/2026,,83, ,0830,1230,T,40.855076,-73.904199,Dry,Yes,1/20/2026,Yes,2,Bronx,19,0.8,0,0.06,Deliveries are preferred 8:00 AM to 12:00 PM,54.04,Yes
976244,85085,- None -,The Voices of Hagar,95-18 Northern Blvd,Jackson Heights,NY,11372,30,468,468,1/20/2026,,18, ,0830,1230,T,40.756866,-73.872861,Dry,Yes,1/20/2026,Yes,2,Queens,3,0.21,0,0,Please don't contact Danette regarding deliveries.  Please do not drive into the parking lot. Deliver through lower level.,13.5,Yes
976245,85085,- None -,The Voices of Hagar,95-18 Northern Blvd,Jackson Heights,NY,11372,30,824,824,1/20/2026,,27, ,0830,1230,T,40.756866,-73.872861,Cold,Yes,1/20/2026,Yes,2,Queens,3,0.63,0,0,Please don't contact Danette regarding deliveries.  Please do not drive into the parking lot. Deliver through lower level.,40.37,Yes
976471,85547,- None -,Holy Apostles Pantry Program,296 9th Avenue,New York,NY,10001,30,2205,2205,1/20/2026,,45, ,0830,1230,T,40.749416,-73.999188,Cold,No,1/20/2026,No,1,Manhattan,22,1.47,0,0,Chris Molinari is no longer with Holy Apostles.,94.05,No
976512,81272,- None -,Blessed Sacrament Church,198 Euclid Avenue,Brooklyn,NY,11208,30,4450,4450,1/20/2026,,185, ,0830,1230,T,40.683835,-73.874299,Dry,No,1/20/2026,No,2,Brooklyn,14,1.51,0,0,Opens at 9AM-2:30pm.  Celeste 718-909-6646,95.97,No
976513,81272,- None -,Blessed Sacrament Church,198 Euclid Avenue,Brooklyn,NY,11208,30,4224,4224,1/20/2026,,118, ,0830,1230,T,40.683835,-73.874299,Cold,No,1/20/2026,No,2,Brooklyn,14,3.07,0,0,Opens at 9AM-2:30pm.  Celeste 718-909-6646,195.98,No
976555,85326,- None -,United Church of Praise Healthy Heart,487 Vanderbilt Avenue,Staten Island,NY,10304,30,1306,1306,1/20/2026,,57, ,1230,1630,T,40.614487,-74.085612,Dry,Yes,1/20/2026,Yes,3,StatenIsland,7,0.64,0,0,Deliveries between 8:30am - 4:30pm,41.65,Yes
976558,85326,- None -,United Church of Praise Healthy Heart,487 Vanderbilt Avenue,Staten Island,NY,10304,30,464,464,1/20/2026,,18, ,1230,1630,T,40.614487,-74.085612,Cold,Yes,1/20/2026,Yes,3,StatenIsland,7,0.36,0,0,Deliveries between 8:30am - 4:30pm,23.33,Yes
976601,87357,- None -,St. Edward Food Pantry,6581 Hylan Blvd,Staten Island,NY,10309,30,436,436,1/20/2026,,23, ,0830,1230,T,40.509084,-74.22093,Dry,Yes,1/20/2026,Yes,1,StatenIsland,7,0.2,0,0,7/26/23 SR changed to Tuesday,12.95,Yes
976608,87357,- None -,St. Edward Food Pantry,6581 Hylan Blvd,Staten Island,NY,10309,30,160,160,1/20/2026,,7, ,0830,1230,T,40.509084,-74.22093,Cold,Yes,1/20/2026,Yes,1,StatenIsland,7,0.13,0,0,7/26/23 SR changed to Tuesday,8.04,Yes
976706,82054,- None -,Solid Rock SDA Church,52-05 Rockaway Beach Blvd,Arverne,NY,11692,30,649,649,1/20/2026,,26, ,0830,1230,T,40.592942,-73.782638,Cold,No,1/20/2026,No,4,Queens,6,0.47,0,0,Mon-Wed 10am-4pm- please call Desmond Prass 718-318-2406/646-256-6586 for all deliveries,30.67,No
976707,82054,- None -,Solid Rock SDA Church,52-05 Rockaway Beach Blvd,Arverne,NY,11692,30,1227,1227,1/20/2026,,58, ,0830,1230,T,40.592942,-73.782638,Dry,No,1/20/2026,No,4,Queens,6,0.52,0,0,Mon-Wed 10am-4pm- please call Desmond Prass 718-318-2406/646-256-6586 for all deliveries,33.53,No
976740,83936,- None -,Las Maravillas Del Exodo,302 Elton Street,Brooklyn,NY,11208,30,670,670,1/20/2026,,15, ,1230,1630,T,40.675836,-73.883943,Cold,Yes,1/20/2026,Yes,1,Brooklyn,73,0.45,0,0,**REQUIRES STRAIGHT TRUCK **Deliveries Tuesday 9am - 5:00 pm,29.2,Yes
976751,83936,- None -,Las Maravillas Del Exodo,302 Elton Street,Brooklyn,NY,11208,30,2050,2050,1/20/2026,,106, ,1230,1630,T,40.675836,-73.883943,Dry,Yes,1/20/2026,Yes,1,Brooklyn,73,0.94,0,0,**REQUIRES STRAIGHT TRUCK **Deliveries Tuesday 9am - 5:00 pm,60.02,Yes
976762,81033,- None -,Project Hospitality Inc.,205 Canal St,Staten Island,NY,10304,30,584,584,1/20/2026,,24, ,0830,1230,T,40.625166,-74.079365,Cold,Yes,1/20/2026,Yes,4,StatenIsland,23,0.44,0,0,Tuesday's and Thursday's; Deliver to corner of Bay St/Sands St. Curb cut on Sands St.,27.76,Yes
976766,85108,- None -,Christ Apostolic Church WOSEM,442 East 183rd Street,Bronx,NY,10458,30,2405,2405,1/20/2026,,118, ,0830,1230,T,40.855629,-73.894076,Dry,Yes,1/20/2026,Yes,3,Bronx,20,1.05,0,0,Please deliver after 9am.  Ring the intercom at side door and have a handtruck,67.85,Yes
976767,85108,- None -,Christ Apostolic Church WOSEM,442 East 183rd Street,Bronx,NY,10458,30,1905,1905,1/20/2026,,57, ,0830,1230,T,40.855629,-73.894076,Cold,Yes,1/20/2026,Yes,3,Bronx,20,1.44,0,0,Please deliver after 9am.  Ring the intercom at side door and have a handtruck,92.1,Yes
976769,85645,- None -,YMCA Community Market – Coney Island YMCA,2980 West 29th Street,Brooklyn,NY,11224,30,568,568,1/20/2026,,23, ,0830,1230,T,40.573421,-73.995015,Dry,No,1/20/2026,No,1,Brooklyn,17,0.25,0,0,Early Tuesdays 8:30am-12:30pm,16,No
976794,85430,- None -,P.S. 096 Joseph Lanzetta,216 E 120th Street,New York,NY,10035,30,322,322,1/20/2026,,18, ,0830,1230,T,40.800256,-73.937558,Dry,No,1/20/2026,No,5,Manhattan,22,0.16,0,0,"Please, This school ONLY accepts deliveries 9am-1pm.",11.23,No
976800,84801,- None -,Pentecostal Rescue House of Prayer,2415 Pitkin Avenue,Brooklyn,NY,11208,30,1028,1028,1/20/2026,,36, ,0830,1230,T,40.673785,-73.883164,Dry,No,1/20/2026,No,4,Brooklyn,8,0.39,0,0,- None -,25.48,No
976801,84801,- None -,Pentecostal Rescue House of Prayer,2415 Pitkin Avenue,Brooklyn,NY,11208,30,320,320,1/20/2026,,8, ,0830,1230,T,40.673785,-73.883164,Cold,No,1/20/2026,No,4,Brooklyn,8,0.23,0,0,- None -,14.48,No
976804,85683,- None -,Community Healthcare Network,2581 Atlantic Avenue,Brooklyn,NY,11207,30,266,266,1/20/2026,,14, ,0830,1230,T,40.676155,-73.899041,Cold,No,1/20/2026,No,5,Brooklyn,23,0.19,0,0,Agency can accept deliveries between 11am-4pm.,12.11,No
976805,85683,- None -,Community Healthcare Network,2581 Atlantic Avenue,Brooklyn,NY,11207,30,742,742,1/20/2026,,42, ,0830,1230,T,40.676155,-73.899041,Dry,No,1/20/2026,No,5,Brooklyn,23,0.44,0,0,Agency can accept deliveries between 11am-4pm.,27.51,No
976826,87208,- None -,Isaacs Holmes Food Pantry,415 East 93rd Street,New York,NY,10128,30,4372,4372,1/20/2026,,198, ,0830,1230,T,40.780904,-73.945112,Dry,No,1/20/2026,No,3,Manhattan,22,2.05,0,0,"Best Delivery Contact: JENNIFER ESTRADA is 347-279-0642_Monday- Wednesday 9am-3pm; Arrive through the FDR  93rd St entrance, as we have ongoing construction in around our location.",131.3,No
976862,85090,- None -,Masbia of Boro Park,5402 New Utrect Ave,Brooklyn,NY,11219,30,4160,4160,1/20/2026,,128, ,1230,1630,T,40.63231,-73.99532,Cold,Yes,1/20/2026,Yes,1,Brooklyn,72,2.61,0,0,Alex: 917-434-1523 - Afternoon Deliveries Preferred (after 12 noon). Able to receive 1030am-430pm,166.84,Yes
976875,80627,- None -,Little Sisters of the Assumption,333 East 115th Street,New York,NY,10029,30,768,768,1/20/2026,,38, ,0830,1230,T,40.795741,-73.936919,Cold,Yes,1/20/2026,Yes,4,Manhattan,22,0.6,0,0,Anyday between 9am-4pm only,38.3,Yes
976885,85192,- None -,Masbia of Boro Park,5402 New Utrect Avenue,Brooklyn,NY,11219,30,2280,2280,1/20/2026,,70, ,1230,1630,T,40.63231,-73.99532,Cold,Yes,1/20/2026,Yes,1,Brooklyn,72,1.79,0,0,Afternoon Deliveries Preferred (after 12 noon). Able to receive 1030am-430pm,114.18,Yes
976911,80984,- None -,Our Lady of Light Food Pantry,118-22 Riverton Street,St. Albans,NY,11412,30,304,304,1/20/2026,,26, ,0830,1230,T,40.689704,-73.763078,Cold,No,1/20/2026,No,2,Queens,5,0.28,0,0,Pallet Break Down! Ring pantry door bell above red delivery door on sidewalk.,17.74,No
976913,83956,- None -,The Campaign Against Hunger,975 Shepherd Ave,Brooklyn,NY,11208,30,7092,7092,1/20/2026,,642, ,1230,1630,T,40.660966,-73.874089,Dry,Yes,1/20/2026,Yes,1,Brooklyn,15,2.69,0,0,Please ring the door bell if the gate is down.,172.02,Yes
976919,85437,- None -,Project Hospitality Inc.,205 Canal St,Staten Island,NY,10304,30,328,328,1/20/2026,,21, ,0830,1230,T,40.625166,-74.079365,Cold,Yes,1/20/2026,Yes,4,StatenIsland,23,0.22,0,0,Deliver to corner of Bay St/Sands St. Curb cut on Sands St.,14.01,Yes
976920,81034,- None -,Project Hospitality Inc.,205 Canal St,Staten Island,NY,10304,30,128,128,1/20/2026,,16, ,0830,1230,T,40.625166,-74.079365,Cold,Yes,1/20/2026,Yes,4,StatenIsland,23,0.08,0,0,Tuesday's and Thursday's;Deliver to corner of Bay St/Sands St. Curb cut on Sands St.,4.96,Yes
976921,81033,- None -,Project Hospitality Inc.,205 Canal St,Staten Island,NY,10304,30,1004,1004,1/20/2026,,51, ,0830,1230,T,40.625166,-74.079365,Dry,Yes,1/20/2026,Yes,4,StatenIsland,23,0.88,0,0,Tuesday's and Thursday's; Deliver to corner of Bay St/Sands St. Curb cut on Sands St.,57,Yes
976926,85065,- None -,Iglesia de Dios de la Profecia,414 Hooper Street,Brooklyn,NY,11211,30,1784,1784,1/20/2026,,82, ,0830,1230,T,40.71062,-73.951796,Dry,No,1/20/2026,No,2,Brooklyn,20,0.85,0,0,Monday  7:00 am to  4:00 pm  Wednesday 7:30 am-12:00 pm,54.18,No
976927,85065,- None -,Iglesia de Dios de la Profecia,414 Hooper Street,Brooklyn,NY,11211,30,1958,1958,1/20/2026,,70, ,0830,1230,T,40.71062,-73.951796,Cold,No,1/20/2026,No,2,Brooklyn,20,1.38,0,0,Monday  7:00 am to  4:00 pm  Wednesday 7:30 am-12:00 pm,88.98,No
976938,80959,- None -,Resurrection Lutheran Church,189-20 114th Road,St. Albans,NY,11412,30,572,572,1/20/2026,,29, ,0830,1230,T,40.697533,-73.763645,Cold,No,1/20/2026,No,1,Queens,4,0.48,0,0,"Ring doorbell on side door, by the office",30.66,No
976939,80959,- None -,Resurrection Lutheran Church,189-20 114th Road,St. Albans,NY,11412,30,373,373,1/20/2026,,22, ,0830,1230,T,40.697533,-73.763645,Dry,No,1/20/2026,No,1,Queens,4,0.15,0,0,"Ring doorbell on side door, by the office",9.88,No
976942,82104,- None -,Leviticus Church,114-12 Van Wyck Expressway,South Ozone Park,NY,11420,30,2442,2442,1/20/2026,,84, ,1230,1630,T,40.682387,-73.806024,Cold,Yes,1/20/2026,Yes,2,Queens,73,1.83,0,0,"900am-430pm - call when outside with delivery, or if no one is around, call 253-267-2333",116.94,Yes
976943,81586,- None -,Reaching Out Community Service,6417 18th Avenue,Brooklyn,NY,11204,30,1272,1272,1/20/2026,,64, ,0830,1230,T,40.619574,-73.989723,Dry,No,1/20/2026,No,4,Brooklyn,17,0.57,0,0,MORNING DELIVERY ONLY (9am to 12noon) Do Not send any delivers in the afternoon.,36.16,No
976944,82104,- None -,Leviticus Church,114-12 Van Wyck Expressway,South Ozone Park,NY,11420,30,2416,2416,1/20/2026,,80, ,1230,1630,T,40.682387,-73.806024,Dry,Yes,1/20/2026,Yes,2,Queens,73,0.97,0,0,"900am-430pm - call when outside with delivery, or if no one is around, call 253-267-2333",61.2,Yes
976949,84607,- None -,Flushing Jewish Community Council,171-39 Northern Blvd,Flushing,NY,11358,30,1938,1938,1/20/2026,,104, ,0830,1230,T,40.757788,-73.79469,Dry,No,1/20/2026,No,3,Queens,4,0.88,0,0,"SR REMOVAL REQUEST, 7/17/2024.  Ring the doorbell to the Temple office on the left of doors",56.08,No
976955,80291,- None -,Hebron SDA Church,1256 Dean Street,Brooklyn,NY,11216,30,1092,1092,1/20/2026,,42, ,0830,1230,T,40.676753,-73.947804,Dry,No,1/20/2026,No,1,Brooklyn,20,0.44,0,0,please call 917-324-8565 before delivery,28.02,No
976956,80291,- None -,Hebron SDA Church,1256 Dean Street,Brooklyn,NY,11216,30,2128,2128,1/20/2026,,66, ,0830,1230,T,40.676753,-73.947804,Cold,No,1/20/2026,No,1,Brooklyn,20,1.59,0,0,please call 917-324-8565 before delivery,101.46,No
976957,80292,- None -,Hebron SDA Church,1256 Dean Street,Brooklyn,NY,11216,30,1192,1192,1/20/2026,,40, ,0830,1230,T,40.676753,-73.947804,Dry,No,1/20/2026,No,1,Brooklyn,20,0.46,0,0,New York Avenue.  Corner of Dean Street.,29.52,No
976959,80292,- None -,Hebron SDA Church,1256 Dean Street,Brooklyn,NY,11216,30,1728,1728,1/20/2026,,56, ,0830,1230,T,40.676753,-73.947804,Cold,No,1/20/2026,No,1,Brooklyn,20,1.29,0,0,New York Avenue.  Corner of Dean Street.,82.16,No
976960,80401,- None -,St. Philip's Episcopal,265 Decatur Street,Brooklyn,NY,11233,30,1580,1580,1/20/2026,,56, ,0830,1230,T,40.681486,-73.933169,Cold,Yes,1/20/2026,Yes,1,Brooklyn,9,1.1,0,0,Deliveries Tuesday before 12pm,70.5,Yes
976961,85369,- None -,John Jay College Campus Pantry,524 West 59th Street,New York,NY,10019,30,1786,1786,1/20/2026,,91, ,0830,1230,T,40.770786,-73.988512,Dry,No,1/20/2026,No,2,Manhattan,22,0.9,0,0,- None -,58.71,No
976966,80086,- None -,Jewish Community Council of Pelham Parkway,2157 Holland Avenue,Bronx,NY,10462,30,3938,3938,1/20/2026,,260, ,0830,1230,T,40.855218,-73.86574,Dry,Yes,1/20/2026,Yes,3,Bronx,10,2,0,0,SR changed to Tuesday,127.64,Yes
976967,84339,- None -,Gospel Tabernacle Church of Jesus Christ Inc.,2314 Snyder Avenue,Brooklyn,NY,11226,30,1978,1978,1/20/2026,,68, ,1230,1630,T,40.648661,-73.955278,Cold,No,1/20/2026,No,5,Brooklyn,17,1.31,0,0,Please knock on left side door. the door bell does not work.,83.11,No
976968,84339,- None -,Gospel Tabernacle Church of Jesus Christ Inc.,2314 Snyder Avenue,Brooklyn,NY,11226,30,2961,2961,1/20/2026,,113, ,1230,1630,T,40.648661,-73.955278,Dry,No,1/20/2026,No,5,Brooklyn,17,1.35,0,0,Please knock on left side door. the door bell does not work.,85.88,No
976969,80421,- None -,Trinity Human Service Corp.,153 A Johnson Avenue,Brooklyn,NY,11206,30,2377,2377,1/20/2026,,98, ,0830,1230,T,40.706527,-73.943947,Dry,No,1/20/2026,No,2,Brooklyn,16,0.98,0,0,Please call this #929-920-6592 if the pantry door is closed,62.74,No
976970,85271,- None -,The Campaign Against Hunger,"975 Shepherd Ave, Brooklyn, NY 11208",Brooklyn,NY,11233,30,2217,2217,1/20/2026,,75, ,1230,1630,T,40.678643,-73.917677,Cold,Yes,1/20/2026,Yes,1,Brooklyn,15,1.68,0,0,Please ring the door bell if the gate is down.,107.04,Yes
976971,85496,- None -,North Brooklyn Angels,1 Havemeyer Street,Brooklyn,NY,11211,30,2146,2146,1/20/2026,,93, ,0830,1230,T,40.71648,-73.952765,Cold,No,1/20/2026,No,4,Brooklyn,9,1.34,0,0,- None -,85.79,No
976972,85271,- None -,The Campaign Against Hunger,"975 Shepherd Ave, Brooklyn, NY 11208",Brooklyn,NY,11233,30,1092,1092,1/20/2026,,42, ,1230,1630,T,40.678643,-73.917677,Dry,Yes,1/20/2026,Yes,1,Brooklyn,15,0.44,0,0,Please ring the door bell if the gate is down.,28.02,Yes
976973,80421,- None -,Trinity Human Service Corp.,153 A Johnson Avenue,Brooklyn,NY,11206,30,1467,1467,1/20/2026,,67, ,0830,1230,T,40.706527,-73.943947,Cold,No,1/20/2026,No,2,Brooklyn,16,1.1,0,0,Please call this #929-920-6592 if the pantry door is closed,70.54,No
976978,80744,- None -,St. Cecilia's Parish Services,125 East 105th Street,New York,NY,10029,30,296,296,1/20/2026,,14, ,0830,1230,T,40.791868,-73.94745,Cold,No,1/20/2026,No,2,Manhattan,1,0.31,0,0,Monday and Tuesday between 9am and 4pm Please call Carmen Reyes at 347-803-6822 to confirm deliveries,20.08,No
976987,81246,- None -,New York City Love Kitchen Inc.,20 Cumming St,New York,NY,10034,30,1953,1953,1/20/2026,,62, ,0830,1230,T,40.866644,-73.926461,Cold,No,1/20/2026,No,4,Manhattan,2,1.45,0,0,"Monday- Friday, 9am-2pm, entrance on corner of 204th Street and 9th avenue",92.91,No
976988,85425,- None -,Make the Road New York - Queens,104-19 Roosevelt Avenue,Corona,NY,11368,30,1728,1728,1/20/2026,,56, ,0830,1230,T,40.750136,-73.860766,Cold,No,1/20/2026,No,1,Queens,3,1.31,0,0,MUST HAVE:Tuesday delivery BEFORE 12noon,83.36,No
